ID,word1,score1,word2,score2,word3,score3
0,method,0.26034817128955623,algorithms,0.16780283510277577,drop-in,0.16780283510277577
1,spec,0.5206963425791125,ticket,0.43265071305127184,-,-
2,update,0.13424226808222062,task,0.13424226808222062,objective,0.13424226808222062
3,heads,0.34713089505274164,design,0.16577488026931647,Thanks,0.14644423127675418
4,delay,0.16780283510277577,document,0.16780283510277577,UPDATE,0.16780283510277577
5,pass,0.33560567020555154,doc,0.26034817128955623,design,0.12433116020198735
6,thanks,0.1032632831401697,functionality,0.1032632831401697,references),0.1032632831401697
7,objectives,0.07256338815255169,step,0.0521718386340152,size,0.0521718386340152
8,spark,0.04279695966403664,comments,0.03677870358417003,example,0.030425863951818236
9,behavior,0.23142059670182774,experiment,0.14915807564691178,gradient,0.14915807564691178
10,https://github.com/apache/spark/pull/4934,0.22373711347036768,request,0.22373711347036768,pull,0.22373711347036768
11,lbfgs,0.04881528211679179,descent,0.04524276631543506,optimization,0.040679401763993164
12,Optimization,0.6712113404111031,benchmarks,0.43265071305127184,-,-
13,issue,0.29754076718806427,today,0.1917746686888866,search,0.12361448944322052
14,vector,0.17356544752637082,convergence,0.16086316912154686,weight,0.12339378158237396
15,vector,0.14072874123759796,weight,0.12005881451258008,vectors,0.07256338815255169
16,criterion,0.19228920580056524,understanding,0.14915807564691178,detail,0.14915807564691178
17,weights,0.14025311590679765,wrt,0.08014463766102724,tolerance,0.055250946977182365
18,comparisons,0.22373711347036768,norms,0.17356544752637082,difference,0.12339378158237396
19,lot,0.22373711347036768,codes,0.22373711347036768,logic,0.22373711347036768
20,-,-,-,-,-,-
21,criteria,0.09188758986690221,function,0.07896604004836506,value,0.061258393244601465
